EVENTMSGACTIONTYPE,EVENTMSGTYPE,EVENTNUM,GAME_ID,HOMEDESCRIPTION,NEUTRALDESCRIPTION,PCTIMESTRING,PERIOD,PERSON1TYPE,PERSON2TYPE,PERSON3TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ABBREVIATION,PLAYER1_TEAM_CITY,PLAYER1_TEAM_ID,PLAYER1_TEAM_NICKNAME,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ABBREVIATION,PLAYER2_TEAM_CITY,PLAYER2_TEAM_ID,PLAYER2_TEAM_NICKNAME,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ABBREVIATION,PLAYER3_TEAM_CITY,PLAYER3_TEAM_ID,PLAYER3_TEAM_NICKNAME,SCORE,SCOREMARGIN,VISITORDESCRIPTION,WCTIMESTRING
0,8,207,21500332,SUB: Koufos FOR Cousins,,3:17,2,4,4,0,202326,DeMarcus Cousins,SAC,Sacramento,1610612758,Kings,201585,Kosta Koufos,SAC,Sacramento,1610612758,Kings,0,,,,,,,,,11:33 PM
0,8,208,21500332,,,3:17,2,5,5,0,201577,Robin Lopez,NYK,New York,1610612752,Knicks,202498,Lance Thomas,NYK,New York,1610612752,Knicks,0,,,,,,,,SUB: Thomas FOR Lopez,11:33 PM
1,2,209,21500332,,,3:01,2,5,0,0,201167,Arron Afflalo,NYK,New York,1610612752,Knicks,0,,,,,,0,,,,,,,,MISS Afflalo 24' 3PT Jump Shot,11:33 PM
0,4,210,21500332,Rondo REBOUND (Off:0 Def:4),,2:59,2,4,0,0,200765,Rajon Rondo,SAC,Sacramento,1610612758,Kings,0,,,,,,0,,,,,,,,,11:34 PM
7,1,211,21500332,Casspi  Dunk (6 PTS) (Rondo 5 AST),,2:57,2,4,4,0,201956,Omri Casspi,SAC,Sacramento,1610612758,Kings,200765,Rajon Rondo,SAC,Sacramento,1610612758,Kings,0,,,,,,29 - 41,12,,11:34 PM
1,1,212,21500332,,,2:40,2,5,5,0,101181,Jose Calderon,NYK,New York,1610612752,Knicks,204001,Kristaps Porzingis,NYK,New York,1610612752,Knicks,0,,,,,,32 - 41,9,Calderon 25' 3PT Jump Shot (8 PTS) (Porzingis 1 AST),11:34 PM
42,1,213,21500332,Rondo 1' Driving Layup (7 PTS),,2:32,2,4,0,0,200765,Rajon Rondo,SAC,Sacramento,1610612758,Kings,0,,,,,,0,,,,,,32 - 43,11,,11:34 PM
2,6,214,21500332,,,2:32,2,5,4,1,101181,Jose Calderon,NYK,New York,1610612752,Knicks,200765,Rajon Rondo,SAC,Sacramento,1610612758,Kings,0,,,,,,,,Calderon S.FOUL (P1.T2) (E.Malloy),11:34 PM
1,9,215,21500332,,,2:32,2,3,0,0,1610612752,,,,,,0,,,,,,0,,,,,,,,Knicks Timeout: Regular (Reg.2 Short 0),11:34 PM
10,3,219,21500332,Rondo Free Throw 1 of 1 (8 PTS),,2:32,2,4,0,0,200765,Rajon Rondo,SAC,Sacramento,1610612758,Kings,0,,,,,,0,,,,,,32 - 44,12,,11:37 PM
