EVENTMSGACTIONTYPE,EVENTMSGTYPE,EVENTNUM,GAME_ID,HOMEDESCRIPTION,NEUTRALDESCRIPTION,PCTIMESTRING,PERIOD,PERSON1TYPE,PERSON2TYPE,PERSON3TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ABBREVIATION,PLAYER1_TEAM_CITY,PLAYER1_TEAM_ID,PLAYER1_TEAM_NICKNAME,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ABBREVIATION,PLAYER2_TEAM_CITY,PLAYER2_TEAM_ID,PLAYER2_TEAM_NICKNAME,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ABBREVIATION,PLAYER3_TEAM_CITY,PLAYER3_TEAM_ID,PLAYER3_TEAM_NICKNAME,SCORE,SCOREMARGIN,VISITORDESCRIPTION,WCTIMESTRING
2,6,217,21500284,,,2:27,2,5,4,1,200782,PJ Tucker,PHX,Phoenix,1610612756,Suns,201162,Jared Dudley,WAS,Washington,1610612764,Wizards,0,,,,,,,,Tucker S.FOUL (P2.T4) (M.McCutchen),7:58 PM
11,3,218,21500284,Dudley Free Throw 1 of 2 (1 PTS),,2:27,2,4,0,0,201162,Jared Dudley,WAS,Washington,1610612764,Wizards,0,,,,,,0,,,,,,53 - 47,-6,,7:58 PM
12,3,220,21500284,Dudley Free Throw 2 of 2 (2 PTS),,2:27,2,4,0,0,201162,Jared Dudley,WAS,Washington,1610612764,Wizards,0,,,,,,0,,,,,,53 - 48,-5,,7:58 PM
1,2,222,21500284,,,2:13,2,5,0,0,202688,Brandon Knight,PHX,Phoenix,1610612756,Suns,0,,,,,,0,,,,,,,,MISS Knight 25' 3PT Jump Shot,7:58 PM
0,4,223,21500284,,,2:12,2,5,0,0,200782,PJ Tucker,PHX,Phoenix,1610612756,Suns,0,,,,,,0,,,,,,,,Tucker REBOUND (Off:1 Def:4),7:59 PM
5,1,224,21500284,,,2:04,2,5,5,0,202720,Jon Leuer,PHX,Phoenix,1610612756,Suns,202688,Brandon Knight,PHX,Phoenix,1610612756,Suns,0,,,,,,55 - 48,-7,Leuer 2' Layup (11 PTS) (Knight 3 AST),7:59 PM
1,2,225,21500284,MISS Temple 8' Jump Shot,,1:54,2,4,0,0,202066,Garrett Temple,WAS,Washington,1610612764,Wizards,0,,,,,,0,,,,,,,,,7:59 PM
0,4,226,21500284,,,1:53,2,5,0,0,200782,PJ Tucker,PHX,Phoenix,1610612756,Suns,0,,,,,,0,,,,,,,,Tucker REBOUND (Off:1 Def:5),7:59 PM
45,5,227,21500284,,,1:48,2,5,0,0,202688,Brandon Knight,PHX,Phoenix,1610612756,Suns,0,,,,,,0,,,,,,,,Knight Out of Bounds - Bad Pass Turnover Turnover (P4.T11),7:59 PM
1,6,228,21500284,,,1:42,2,5,4,1,203933,TJ Warren,PHX,Phoenix,1610612756,Suns,202322,John Wall,WAS,Washington,1610612764,Wizards,0,,,,,,,,Warren P.FOUL (P2.PN) (M.McCutchen),7:59 PM
